method,agent,source_type,point_idx,x,y
rule_based,robot2,odom,76,-4.0370733150253635,-4.578056975073571
rule_based,robot2,odom,77,-3.994085142554631,-4.605394541570521
rule_based,robot2,odom,78,-3.948758388218594,-4.626478007001155
rule_based,robot2,odom,79,-3.9047005835972977,-4.648655965911556
rule_based,robot2,odom,80,-3.858098753646143,-4.666954458979272
rule_based,robot2,odom,81,-3.8157867507450556,-4.686157189094784
rule_based,robot2,odom,82,-3.7661067472539203,-4.697525445203085
rule_based,robot2,odom,83,-3.716319938689073,-4.701281525837659
rule_based,robot2,odom,84,-3.6668270903290514,-4.709436339395608
rule_based,robot2,odom,85,-3.6181257931595177,-4.7118949841071185
rule_based,robot2,odom,86,-3.567326300247992,-4.713731443190608
rule_based,robot2,odom,87,-3.517092112955484,-4.705888235537453
rule_based,robot2,odom,88,-3.4669463948260613,-4.702823049003343
rule_based,robot2,odom,89,-3.419034786650922,-4.695043728590584
rule_based,robot2,odom,90,-3.3246514250428376,-4.682768176941703
rule_based,robot2,odom,91,-3.27549487059655,-4.673269492788657
rule_based,robot2,odom,92,-3.2306394889630514,-4.656425509833025
rule_based,robot2,odom,93,-3.185301223844323,-4.6347962389170885
rule_based,robot2,odom,94,-3.142690136801912,-4.611811157868438
rule_based,robot2,odom,95,-3.0981436295749187,-4.588697612786681
rule_based,robot2,odom,96,-3.056922075162317,-4.559285663180578
rule_based,robot2,odom,97,-3.0160815385893223,-4.534554922062443
rule_based,robot2,odom,98,-2.9755624916094177,-4.5043858977257765
rule_based,robot2,odom,99,-2.9371751615802424,-4.478798725833028
rule_based,robot2,odom,100,-2.898793003891468,-4.4477681992670615
rule_based,robot2,odom,101,-2.863574908156113,-4.41378843037828
rule_based,robot2,odom,102,-2.828997060021338,-4.378549344177298
rule_based,robot2,odom,103,-2.802618768263265,-4.335495351061278
rule_based,robot2,odom,104,-2.7733285326859716,-4.295157976950561
rule_based,robot2,odom,105,-2.7562149228006003,-4.246998194013556
rule_based,robot2,odom,106,-2.7327469550356387,-4.2029104071499175
rule_based,robot2,odom,107,-2.719527651066334,-4.155254391118046
rule_based,robot2,odom,108,-2.7015624800885947,-4.108378178195001
rule_based,robot2,odom,109,-2.686500676176289,-4.064680518831491
rule_based,robot2,odom,110,-2.674333650987149,-4.015629089845108
rule_based,robot2,odom,111,-2.6686177641011235,-3.9177487384625627
rule_based,robot2,odom,112,-2.6695894985073214,-3.8674504783691805
rule_based,robot2,odom,113,-2.6668617373031744,-3.818855655122916
rule_based,robot2,odom,114,-2.6679668112885504,-3.7691323229034333
rule_based,robot2,odom,115,-2.667236701835887,-3.7223025502165212
rule_based,robot2,odom,116,-2.6702038990436567,-3.6737250018843275
rule_based,robot2,odom,117,-2.676308193236367,-3.62546342078148
rule_based,robot2,odom,118,-2.6852340771646652,-3.5774130812645564
rule_based,robot2,odom,119,-2.7090874443286577,-3.5323508582338956
rule_based,robot2,odom,120,-2.7257828098802293,-3.485274181795852
rule_based,robot2,odom,121,-2.7493361591230023,-3.4406227309701323
rule_based,robot2,odom,122,-2.771562323847067,-3.3957562925506872
rule_based,robot2,odom,123,-2.800446576469179,-3.3567069932474793
rule_based,robot2,odom,124,-2.8287312719432722,-3.3143510050469245
rule_based,robot2,odom,125,-2.855894528652767,-3.2765401881089526
rule_based,robot2,odom,126,-2.8875438345313245,-3.2366354546314997
rule_based,robot2,odom,127,-2.9260155096295106,-3.205102325503327
rule_based,robot2,odom,128,-2.964917483585855,-3.1733497162909856
rule_based,robot2,odom,129,-3.0085985020037818,-3.1478081368011726
rule_based,robot2,odom,130,-3.0494312336837957,-3.119185770504564
rule_based,robot2,odom,131,-3.137759755786926,-3.07437333389618
rule_based,robot2,odom,132,-3.1802167015795044,-3.0513401710304953
rule_based,robot2,odom,133,-3.2244523096146094,-3.0313120097682926
rule_based,robot2,odom,134,-3.2701493491975318,-3.0138273026795814
rule_based,robot2,odom,135,-3.3203442948016124,-3.0058608057786285
